,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
9,7oKc5BuZtYU,Falta do que fazer!!!,Falta do que fazer!!!,Neuraci Fonseca,https://yt3.ggpht.com/a/AATXAJxIBt-3pc6srGLv8ZMzGINTCJwfLEJD_ob-iQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCu0BYIkUWufCdoywko6-lvw,{'value': 'UCu0BYIkUWufCdoywko6-lvw'},True,none,0,2019-09-01T15:34:32Z,2019-09-01T15:34:32Z
10,7oKc5BuZtYU,Tem que mostrar sim pra onde o passageiro vai,Tem que mostrar sim pra onde o passageiro vai,Josė Moacir De Souza,https://yt3.ggpht.com/a/AATXAJyT-H4Z5-vcCHNQa3z1ogYEW5ZF2V-qk1lUUQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClp4w3EJ0YcV1d5ukiYhL9A,{'value': 'UClp4w3EJ0YcV1d5ukiYhL9A'},True,none,0,2019-09-01T15:34:31Z,2019-09-01T15:34:31Z
11,7oKc5BuZtYU,crivella tem q pedir uber para o céu....,crivella tem q pedir uber para o céu....,carlos alexandre,https://yt3.ggpht.com/a/AATXAJxp0XYI1KdkPV0Hi4lX-MwXJCTi1EdxtZqr5ldE=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCBI24-8FOZknaoGcUvlv0HA,{'value': 'UCBI24-8FOZknaoGcUvlv0HA'},True,none,0,2019-09-01T14:46:48Z,2019-09-01T14:46:48Z
12,7oKc5BuZtYU,"bom dia thiago... eu estou tentando meu cadastro na uber mandei td certinho e o app da uber  e so diz entre em contato com o suporte para faler sobre sua conta,<br />ja fiz na 99 foi rapido a aprovaçao so da uber nao estou entendo os decumentos solicitados foram enviados corretamente essa es minha duvida","bom dia thiago... eu estou tentando meu cadastro na uber mandei td certinho e o app da uber  e so diz entre em contato com o suporte para faler sobre sua conta,
ja fiz na 99 foi rapido a aprovaçao so da uber nao estou entendo os decumentos solicitados foram enviados corretamente essa es minha duvida",jair gonçalves,https://yt3.ggpht.com/a/AATXAJxmsw2jRmQM7TQB4iGQn-gEBEQ7uzND4Tp736PDqw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCvnueIfqmvKaYX6IXYBLM2A,{'value': 'UCvnueIfqmvKaYX6IXYBLM2A'},True,none,0,2019-09-01T14:22:11Z,2019-09-01T14:22:11Z
13,7oKc5BuZtYU,"Aqui em BH MG,a Uber começou a mostrar o destino do passageiro no início dessa semana,ajuda bastante,saber que região vc estar indo.","Aqui em BH MG,a Uber começou a mostrar o destino do passageiro no início dessa semana,ajuda bastante,saber que região vc estar indo.",Roger Araujo,https://yt3.ggpht.com/a/AATXAJxKBC-6wlcrLpxpktc9WfvV2NXBsRiHXuzyGG_STA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCA5ckvtQivURADtr5UdZy4A,{'value': 'UCA5ckvtQivURADtr5UdZy4A'},True,none,0,2019-09-01T13:22:43Z,2019-09-01T13:22:43Z
14,7oKc5BuZtYU,Na  verdade  aqui no Brasil  o  certo  e  errado e o errado  e   certo  .,Na  verdade  aqui no Brasil  o  certo  e  errado e o errado  e   certo  .,Thiagoo Santos,https://yt3.ggpht.com/a/AATXAJwCny9W2yT2HE96xEuWNz6nG4P8yKDm0nqcjzjTLQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCUDSgsh41u4uNdwyMFTGTGQ,{'value': 'UCUDSgsh41u4uNdwyMFTGTGQ'},True,none,0,2019-09-01T13:14:31Z,2019-09-01T13:14:31Z
15,7oKc5BuZtYU,"Recebi msg da 99, corrida do metrô eucalipto até congonhas 4,99!!!!! Como assim???? Mais barato que a tarifa mínima, que já em uma miséria","Recebi msg da 99, corrida do metrô eucalipto até congonhas 4,99!!!!! Como assim???? Mais barato que a tarifa mínima, que já em uma miséria",Chris Freier,https://yt3.ggpht.com/a/AATXAJwRioAQuZWwMvaELIwzK__Wx8EWgc7ozx24HeVHKA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCXMGwCPp457UtPKFDWNc_PA,{'value': 'UCXMGwCPp457UtPKFDWNc_PA'},True,none,1,2019-09-01T13:13:34Z,2019-09-01T13:13:34Z
16,7oKc5BuZtYU,"Crivela não fez nada até hoje ,maior decepção, uma merda esse governo dele . Infelizmente os políticos ligado a taxistas muitos são Donos de frotas , na real é que na verdade eles que acabar com os aplicativos de vez é voltar ser como era antes. Esquecem que quem está perdendo emprego está se sustentando com os aplicativos a maioria infelizmente! OBS OS políticos não estão nem ae para os motoristas que estão desempregados  👍✌","Crivela não fez nada até hoje ,maior decepção, uma merda esse governo dele . Infelizmente os políticos ligado a taxistas muitos são Donos de frotas , na real é que na verdade eles que acabar com os aplicativos de vez é voltar ser como era antes. Esquecem que quem está perdendo emprego está se sustentando com os aplicativos a maioria infelizmente! OBS OS políticos não estão nem ae para os motoristas que estão desempregados  👍✌",Luiz n,https://yt3.ggpht.com/a/AATXAJzO3LQ2iGoJ14CmRH20QwUszLdK7cwrr-V4nw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCEOs9qM3HxsnlLtuVljzdcg,{'value': 'UCEOs9qM3HxsnlLtuVljzdcg'},True,none,0,2019-09-01T12:07:16Z,2019-09-01T12:10:52Z
17,7oKc5BuZtYU,"Se é pra ser igual táxi a primeira informação é o destino do passageiro, &quot; o próprio passageiro fala com o motorista vc me leva em tal ligar&quot;.  Essa é a realidade!!!","Se é pra ser igual táxi a primeira informação é o destino do passageiro, "" o próprio passageiro fala com o motorista vc me leva em tal ligar"".  Essa é a realidade!!!",Julio Menezes,https://yt3.ggpht.com/a/AATXAJyisBVgSnfYlomhztJhj_IGB6mKxCyA98B88-U18g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCESQOlKvMtpv2_-QTl6BX8g,{'value': 'UCESQOlKvMtpv2_-QTl6BX8g'},True,none,0,2019-09-01T11:27:13Z,2019-09-01T11:27:13Z
18,7oKc5BuZtYU,A 99Taxi tem o Embarque Rápido<br /> O passageiro e o taxista através do codigo QR fazem Abrem corrida diretente sem precisa que o app busque o motorista mais proximo da região,"A 99Taxi tem o Embarque Rápido
 O passageiro e o taxista através do codigo QR fazem Abrem corrida diretente sem precisa que o app busque o motorista mais proximo da região",Mazinho - Jozimar Santos,https://yt3.ggpht.com/a/AATXAJzEJssfWp09o_yjMukwsLM7DBsSt9GUFhBCSDRemw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCifUnodP2ZSpVgp4E41i1WQ,{'value': 'UCifUnodP2ZSpVgp4E41i1WQ'},True,none,0,2019-09-01T11:06:48Z,2019-09-01T11:06:48Z
